bias,positive,negative,sentiment
1,3020,61,1
1,3573,444,1
1,3005,115,1
1,2862,4,1
1,3119,225,1
1,2955,119,1
1,3934,538,1
1,3162,276,1
1,628,189,1
1,264,112,1
1,3015,55,1
1,3678,716,1
1,319,245,1
1,3072,204,1
1,3296,261,1
1,1017,241,1
1,3084,292,1
1,1158,249,1
1,3003,30,1
1,3457,540,1
1,3429,343,1
1,2961,115,1
1,3006,124,1
1,3444,445,1
1,2890,57,1
1,1047,94,1
1,3688,972,1
1,3262,414,1
1,3096,124,1
1,546,31,1
1,2888,124,1
1,2915,86,1
1,2883,24,1
1,4603,697,1
1,630,79,1
1,319,245,1
1,3024,79,1
1,654,128,1
1,808,172,1
1,972,566,1
1,846,179,1
1,764,168,1
1,3587,120,1
1,44,23,1
1,6327,338,1
1,1077,201,1
1,3406,549,1
1,2882,42,1
1,3026,79,1
1,870,289,1
1,3063,242,1
1,3020,61,1
1,3094,289,1
1,740,173,1
1,2986,77,1
1,2865,10,1
1,3236,290,1
1,3103,172,1
1,6137,526,1
1,499,0,1
1,2865,12,1
1,319,245,1
1,595,165,1
1,3207,134,1
1,3047,391,1
1,2855,4,1
1,2901,7,1
1,3745,436,1
1,3130,306,1
1,3015,55,1
1,3063,124,1
1,3231,181,1
1,444,135,1
1,1184,597,1
1,2851,3,1
1,346,265,1
1,1087,498,1
1,3429,343,1
1,2952,102,1
1,2865,19,1
1,1002,94,1
1,4603,697,1
1,900,281,1
1,2848,3,1
1,3045,176,1
1,1052,477,1
1,3095,206,1
1,3444,445,1
1,2955,97,1
1,3183,130,1
1,44,23,1
1,3024,79,1
1,319,245,1
1,3130,380,1
1,2984,27,1
1,3007,142,1
1,599,40,1
1,3138,405,1
1,3745,436,1
1,709,151,1
1,598,189,1
1,3449,535,1
1,2901,50,1
1,3130,193,1
1,3745,436,1
1,3020,61,1
1,503,2,1
1,3131,148,1
1,3108,122,1
1,1087,112,1
1,3163,219,1
1,3085,244,1
1,2919,10,1
1,3015,55,1
1,3385,113,1
1,728,99,1
1,3227,487,1
1,3230,201,1
1,4603,697,1
1,3124,383,1
